sku,stock.qty,pick_face_count  
150662, 17,1
150663, 249,1
150666, 126,1
150668, 48,1
150670, 27,1
150671, 117,1
150672, 0,1
150674, 30,1
150675, 255,1
150677, 248,1
150684, 101,
150689, 232,1
150715, 5451,2
150726, 1793,2
150727, 1174,2
150728, 116,1
150736, 19,1
150739, 30,1
150760, 75,1
150762, 91,1
150783, 13,1
150835, 53,1
150867, 19,1
150878, 63,1
150880, 92,1
150882, 122,1
150884, 22,1
150887, 12,1
150890, 9,1
150894, 12,1
150900, 0,1
150919, 96,2
150921, 35,
150946, 792,1
150958, 121,2
150979, 29,1
150980, 74,1
150981, 17,1
150982, 196,1
150983, 630,
150984, 168,1
151117, 22,1
151129, 18,1
151149, 5,1
151161, 80,1
151175, 59,
151209, 12,2
151210, 618,2
151225, 13,1
151227, 35,1
151257, 313,1
151258, 258,1
151296, 9,2
151304, 1,2
151305, 12,
151322, 168,
151356, 97,2
151357, 201,2
151358, 318,2
151374, 244,1
151397, 15,1
15140, 0,2
151402, 1406,2
151424, 114,1
151425, 273,1
151427, 78,1
151428, 108,1
151429, 35,2
151430, 88,1
151432, 254,1
151433, 172,1
151434, 245,1
151435, 50,1
151456, 198,1
151457, 1,1
151461, 2,1
151462, 92,
151464, 68,
151466, 35,
151474, 3,1
151482, 10,1
151483, 188,
151487, 2,1
151605, 10,1
151608, 163,
151623, 210,1
151624, 100,1
151626, 6,1
151748, 14,1
151749, 15,1
151750, 11,1
151751, 3,1
151752, 25,1
151753, 87,1
151754, 282,1
151885, 1,
151938, 10,2
151957, 45,1
152046, 22,
152119, 9,1
152133, 450,1
152135, 11,1
152136, 20,1
152137, 27,1
152138, 48,1
152139, 28,1
152140, 64,1
152144, 14,1
152145, 42,1
152146, 39,1
152148, 4,1
152149, 7,1
152150, 10,1
152151, 49,
152153, 23,1
152155, 76,1
152156, 182,1
152157, 4,1
152158, 35,1
152159, 10,1
152160, 30,1
152176, 125,1
152246, 193,2
152251, 240,2
152253, 186,2
152408, 64,1
152425, 67,2
152426, 36,1
152438, 8,2
152457, 60,1
152458, 12,1
152459, 201,2
152494, 60,2
152524, 60,1
152525, 85,1
152526, 49,1
152527, 22,1
152528, 59,1
152529, 136,1
152530, 7,1
152533, 150,2
152534, 42,1
152535, 37,1
152543, 1058,1
152545, 15,1
152548, 4,1
152619, 344,2
152620, 1,1
152625, 0,2
152626, 7,1
152627, 145,1
152628, 276,2
152629, 174,1
152630, 391,1
152638, 82,1
152639, 415,1
152640, 187,1
152641, 705,1
152646, 217,1
152647, 11,1
152651, 192,2
152653, 251,1
152654, 38,1
152655, 24,2
152656, 411,2
152657, 242,1
152658, 240,2
152659, 482,2
152660, 35,1
152661, 292,1
152662, 141,1
152663, 36,1
152668, 193,2
152671, 60,2
152672, 20,2
152676, 183,1
152688, 103,
152696, 19,1
152709, 448,1
152733, 0,1
152768, 0,2
152769, 246,1
152770, 315,2
152772, 96,2
152774, 0,2
152776, 261,1
152778, 132,2
152780, 386,1
152784, 144,1
152790, 47,1
152793, 383,1
152804, 1,1
152819, 14,1
152825, 17,1
152826, 6,1
152832, 22,2
152835, 442,2
152858, 0,1
152859, 11,1
152860, 18,1
152862, 81,1
152863, 114,1
152865, 39,
