2014-07-19, 17:06:37, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:36, takeaway.php, 51, 
2014-07-19, 17:10:52, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:51, takeaway.php, 51, 
2014-07-19, 18:04:32, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 18:07:31, takeaway.php, 51, 
2014-07-19, 18:08:06, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 18:19:44, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 18:07:44, takeaway.php, 51, 
2014-07-19, 18:58:19, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:18, takeaway.php, 51, 
2014-07-19, 18:58:23, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:22, takeaway.php, 51, 
2014-07-19, 19:01:40, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 19:03:16, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:15, takeaway.php, 51, 
2014-07-19, 19:03:25, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:25, takeaway.php, 51, 
2014-07-19, 19:05:20, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:19, takeaway.php, 51, 
2014-07-19, 19:09:20, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 19:43:16, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 19:07:15, takeaway.php, 51, 
2014-07-19, 19:45:04, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 19:51:23, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 20:07:22, takeaway.php, 51, 
2014-07-19, 20:06:14, AAA1786, 192.168.0.8,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 20:07:13, takeaway.php, 51, 
2014-07-19, 20:06:26, AAA1786, 192.168.0.8,  Requested Time :: <b>Sat 19 Jul 2014 20:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 20:07:25, takeaway.php, 51, 
2014-07-19, 20:06:33, AAA1786, 192.168.0.8,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 20:07:32, takeaway.php, 51, 
2014-07-19, 20:25:29, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 20:43:12, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 20:45:57, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 13:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 21:07:56, takeaway.php, 51, 
