
2014-07-26, 19:38:22, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:38:22, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:38:24, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:38:34, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:38:35, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:38:39, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:39:37, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:39:39, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:44:26, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:44:26, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:44:29, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:44:29, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:44:32, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:44:35, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:44:36, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:44:40, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:45:25, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:45:27, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:45:31, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:45:33, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:45:33, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:45:36, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:45:39, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:45:40, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:46:11, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:47:15, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:47:17, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:48:12, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:51:46, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:51:49, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:51:49, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:51:51, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:51:55, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:51:56, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:52:00, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:52:36, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:52:37, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:57:32, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:57:45, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:57:51, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:57:59, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:58:07, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
